"","Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","Classification"
"1940","PENK_OGFR","PENK","proenkephalin","OGFR","opioid growth factor receptor","other"
"1941","PENK_OPRD1","PENK","proenkephalin","OPRD1","opioid receptor, delta 1","other"
"1942","PENK_OPRK1","PENK","proenkephalin","OPRK1","opioid receptor, kappa 1","other"
"1943","PENK_OPRM1","PENK","proenkephalin","OPRM1","opioid receptor, mu 1","other"
"1944","PF4_CXCR3","PF4","platelet factor 4","CXCR3","chemokine (C-X-C motif) receptor 3","other"
"1945","PF4_FGFR2","PF4","platelet factor 4","FGFR2","fibroblast growth factor receptor 2","other"
"1946","PF4_LDLR","PF4","platelet factor 4","LDLR","low density lipoprotein receptor","other"
"1947","PF4_PROCR","PF4","platelet factor 4","PROCR","protein C receptor, endothelial","other"
"1948","PF4_SDC2","PF4","platelet factor 4","SDC2","syndecan 2","other"
"1949","PF4_THBD","PF4","platelet factor 4","THBD","thrombomodulin","other"
"1950","PGF_FLT1","PGF","placental growth factor","FLT1","fms-related tyrosine kinase 1","growth factor"
"1951","PGF_NRP1","PGF","placental growth factor","NRP1","neuropilin 1","growth factor"
"1952","PGF_NRP2","PGF","placental growth factor","NRP2","neuropilin 2","growth factor"
"1953","PI3_PLD2","PI3","peptidase inhibitor 3, skin-derived","PLD2","phospholipase D2","other"
"1954","PIGF_FLT1","PIGF","phosphatidylinositol glycan anchor biosynthesis, class F","FLT1","fms-related tyrosine kinase 1","other"
"1955","PIP_CD4","PIP","prolactin-induced protein","CD4","CD4 molecule","other"
"1956","PIP_NPTN","PIP","prolactin-induced protein","NPTN","neuroplastin","other"
"1957","PKM_CD44","PKM","pyruvate kinase, muscle","CD44","CD44 molecule (Indian blood group)","other"
"1958","PLA2G10_PLA2R1","PLA2G10","phospholipase A2, group X","PLA2R1","phospholipase A2 receptor 1, 180kDa","other"
"1959","PLAT_ITGAM","PLAT","plasminogen activator, tissue","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1960","PLAT_ITGB2","PLAT","plasminogen activator, tissue","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1961","PLAT_LRP1","PLAT","plasminogen activator, tissue","LRP1","low density lipoprotein receptor-related protein 1","other"
"1962","PLAU_IGF2R","PLAU","plasminogen activator, urokinase","IGF2R","insulin-like growth factor 2 receptor","other"
"1963","PLAU_ITGA3","PLAU","plasminogen activator, urokinase","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","other"
"1964","PLAU_ITGA5","PLAU","plasminogen activator, urokinase","ITGA5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)","other"
"1965","PLAU_ITGAM","PLAU","plasminogen activator, urokinase","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1966","PLAU_ITGAV","PLAU","plasminogen activator, urokinase","ITGAV","integrin, alpha V","other"
"1967","PLAU_ITGB1","PLAU","plasminogen activator, urokinase","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"1968","PLAU_ITGB2","PLAU","plasminogen activator, urokinase","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1969","PLAU_ITGB5","PLAU","plasminogen activator, urokinase","ITGB5","integrin, beta 5","other"
"1970","PLAU_LRP1","PLAU","plasminogen activator, urokinase","LRP1","low density lipoprotein receptor-related protein 1","other"
"1971","PLAU_LRP2","PLAU","plasminogen activator, urokinase","LRP2","low density lipoprotein receptor-related protein 2","other"
"1972","PLAU_MRC2","PLAU","plasminogen activator, urokinase","MRC2","mannose receptor, C type 2","other"
"1973","PLAU_PLAUR","PLAU","plasminogen activator, urokinase","PLAUR","plasminogen activator, urokinase receptor","other"
"1974","PLAU_ST14","PLAU","plasminogen activator, urokinase","ST14","suppression of tumorigenicity 14 (colon carcinoma)","other"
"1975","PLAU_VLDLR","PLAU","plasminogen activator, urokinase","VLDLR","very low density lipoprotein receptor","other"
"1976","PLG_F2R","PLG","plasminogen","F2R","coagulation factor II (thrombin) receptor","other"
"1977","PLG_F2RL1","PLG","plasminogen","F2RL1","coagulation factor II (thrombin) receptor-like 1","other"
"1978","PLG_F3","PLG","plasminogen","F3","coagulation factor III (thromboplastin, tissue factor)","other"
"1979","PLG_FLT1","PLG","plasminogen","FLT1","fms-related tyrosine kinase 1","other"
"1980","PLG_ITGA9","PLG","plasminogen","ITGA9","integrin, alpha 9","other"
"1981","PLG_ITGAM","PLG","plasminogen","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"1982","PLG_ITGB1","PLG","plasminogen","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"1983","PLG_ITGB2","PLG","plasminogen","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"1984","PLG_PLAUR","PLG","plasminogen","PLAUR","plasminogen activator, urokinase receptor","other"
"1985","PLG_PLGRKT","PLG","plasminogen","PLGRKT","plasminogen receptor, C-terminal lysine transmembrane protein","other"
"1986","PLTP_ABCA1","PLTP","phospholipid transfer protein","ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1","other"
"1987","PMCH_MCHR1","PMCH","pro-melanin-concentrating hormone","MCHR1","melanin-concentrating hormone receptor 1","other"
"1988","PMCH_MCHR2","PMCH","pro-melanin-concentrating hormone","MCHR2","melanin-concentrating hormone receptor 2","other"
"1989","PNOC_OPRL1","PNOC","prepronociceptin","OPRL1","opiate receptor-like 1","other"
"1990","PODXL2_SELL","PODXL2","podocalyxin-like 2","SELL","selectin L","other"
"1991","PODXL_SELL","PODXL","podocalyxin-like","SELL","selectin L","other"
"1992","POMC_MC1R","POMC","proopiomelanocortin","MC1R","melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)","other"
"1993","POMC_MC2R","POMC","proopiomelanocortin","MC2R","melanocortin 2 receptor (adrenocorticotropic hormone)","other"
"1994","POMC_MC3R","POMC","proopiomelanocortin","MC3R","melanocortin 3 receptor","other"
"1995","POMC_MC4R","POMC","proopiomelanocortin","MC4R","melanocortin 4 receptor","other"
"1996","POMC_MC5R","POMC","proopiomelanocortin","MC5R","melanocortin 5 receptor","other"
"1997","POMC_OPRD1","POMC","proopiomelanocortin","OPRD1","opioid receptor, delta 1","other"
"1998","POMC_OPRK1","POMC","proopiomelanocortin","OPRK1","opioid receptor, kappa 1","other"
"1999","POMC_OPRM1","POMC","proopiomelanocortin","OPRM1","opioid receptor, mu 1","other"
"2000","PON2_HTR2A","PON2","paraoxonase 2","HTR2A","5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled","other"
"2001","PPBP_CXCR1","PPBP","pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)","CXCR1","chemokine (C-X-C motif) receptor 1","cytokine"
"2002","PPBP_CXCR2","PPBP","pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)","CXCR2","chemokine (C-X-C motif) receptor 2","cytokine"
"2003","PPBP_DARC","PPBP","pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)","DARC","Duffy blood group, atypical chemokine receptor","cytokine"
"2004","PPY_NPY1R","PPY","pancreatic polypeptide","NPY1R","neuropeptide Y receptor Y1","other"
"2005","PPY_NPY2R","PPY","pancreatic polypeptide","NPY2R","neuropeptide Y receptor Y2","other"
"2006","PPY_NPY4R","PPY","pancreatic polypeptide","NPY4R","neuropeptide Y receptor Y4","other"
"2007","PPY_NPY5R","PPY","pancreatic polypeptide","NPY5R","neuropeptide Y receptor Y5","other"
"2008","PRLH_PRLHR","PRLH","prolactin releasing hormone","PRLHR","prolactin releasing hormone receptor","other"
"2009","PRL_PRLR","PRL","prolactin","PRLR","prolactin receptor","other"
"2010","PRND_RPSA","PRND","prion protein 2 (dublet)","RPSA","ribosomal protein SA","other"
"2011","PROC_ITGAM","PROC","protein C (inactivator of coagulation factors Va and VIIIa)","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"2012","PROC_ITGB2","PROC","protein C (inactivator of coagulation factors Va and VIIIa)","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"2013","PROC_PROCR","PROC","protein C (inactivator of coagulation factors Va and VIIIa)","PROCR","protein C receptor, endothelial","other"
"2014","PROC_THBD","PROC","protein C (inactivator of coagulation factors Va and VIIIa)","THBD","thrombomodulin","other"
"2015","PROK1_PROKR1","PROK1","prokineticin 1","PROKR1","prokineticin receptor 1","other"
"2016","PROK1_PROKR2","PROK1","prokineticin 1","PROKR2","prokineticin receptor 2","other"
"2017","PROK2_PROKR1","PROK2","prokineticin 2","PROKR1","prokineticin receptor 1","other"
"2018","PROK2_PROKR2","PROK2","prokineticin 2","PROKR2","prokineticin receptor 2","other"
"2019","PROS1_AXL","PROS1","protein S (alpha)","AXL","AXL receptor tyrosine kinase","other"
"2020","PROS1_TYRO3","PROS1","protein S (alpha)","TYRO3","TYRO3 protein tyrosine kinase","other"
"2021","PRSS23_TMEM222","PRSS23","protease, serine, 23","TMEM222","transmembrane protein 222","other"
"2022","PSAP_CD1B","PSAP","prosaposin","CD1B","CD1b molecule","other"
"2023","PSAP_CELSR1","PSAP","prosaposin","CELSR1","cadherin, EGF LAG seven-pass G-type receptor 1","other"
"2024","PSAP_GPR37","PSAP","prosaposin","GPR37","G protein-coupled receptor 37 (endothelin receptor type B-like)","other"
"2025","PSAP_GPR37L1","PSAP","prosaposin","GPR37L1","G protein-coupled receptor 37 like 1","other"
"2026","PSAP_LRP1","PSAP","prosaposin","LRP1","low density lipoprotein receptor-related protein 1","other"
"2027","PSAP_SORT1","PSAP","prosaposin","SORT1","sortilin 1","other"
"2028","PSEN1_CD44","PSEN1","presenilin 1","CD44","CD44 molecule (Indian blood group)","other"
"2029","PSEN1_NCSTN","PSEN1","presenilin 1","NCSTN","nicastrin","other"
"2030","PSEN1_NOTCH1","PSEN1","presenilin 1","NOTCH1","notch 1","other"
"2031","PSEN1_NOTCH2","PSEN1","presenilin 1","NOTCH2","notch 2","other"
"2032","PSEN1_NOTCH3","PSEN1","presenilin 1","NOTCH3","notch 3","other"
"2033","PSEN1_NOTCH4","PSEN1","presenilin 1","NOTCH4","notch 4","other"
"2034","PSPN_GFRA1","PSPN","persephin","GFRA1","GDNF family receptor alpha 1","other"
"2035","PSPN_GFRA4","PSPN","persephin","GFRA4","GDNF family receptor alpha 4","other"
"2036","PSPN_RET","PSPN","persephin","RET","ret proto-oncogene","other"
"2037","PSPN_SDC3","PSPN","persephin","SDC3","syndecan 3","other"
"2038","PTDSS1_JMJD6","PTDSS1","phosphatidylserine synthase 1","JMJD6","jumonji domain containing 6","other"
"2039","PTDSS1_SCARB1","PTDSS1","phosphatidylserine synthase 1","SCARB1","scavenger receptor class B, member 1","other"
"2040","PTGS2_ALOX5","PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)","ALOX5","arachidonate 5-lipoxygenase","other"
"2041","PTGS2_CAV1","PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)","CAV1","caveolin 1, caveolae protein, 22kDa","other"
"2042","PTGS2_PTGDR2","PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)","PTGDR2","prostaglandin D2 receptor 2","other"
"2043","PTH2_PTH1R","PTH2","parathyroid hormone 2","PTH1R","parathyroid hormone 1 receptor","other"
"2044","PTH2_PTH2R","PTH2","parathyroid hormone 2","PTH2R","parathyroid hormone 2 receptor","other"
"2045","PTHLH_PRLHR","PTHLH","parathyroid hormone-like hormone","PRLHR","prolactin releasing hormone receptor","other"
"2046","PTHLH_PTH1R","PTHLH","parathyroid hormone-like hormone","PTH1R","parathyroid hormone 1 receptor","other"
"2047","PTHLH_PTH2R","PTHLH","parathyroid hormone-like hormone","PTH2R","parathyroid hormone 2 receptor","other"
"2048","PTH_PTH1R","PTH","parathyroid hormone","PTH1R","parathyroid hormone 1 receptor","other"
"2049","PTH_PTH2R","PTH","parathyroid hormone","PTH2R","parathyroid hormone 2 receptor","other"
"2050","PTMA_VIPR1","PTMA","prothymosin, alpha","VIPR1","vasoactive intestinal peptide receptor 1","other"
"2051","PTN_ALK","PTN","pleiotrophin","ALK","anaplastic lymphoma receptor tyrosine kinase","other"
"2052","PTN_CDH10","PTN","pleiotrophin","CDH10","cadherin 10, type 2 (T2-cadherin)","other"
"2053","PTN_PLXNB2","PTN","pleiotrophin","PLXNB2","plexin B2","other"
"2054","PTN_PTPRB","PTN","pleiotrophin","PTPRB","protein tyrosine phosphatase, receptor type, B","other"
"2055","PTN_PTPRS","PTN","pleiotrophin","PTPRS","protein tyrosine phosphatase, receptor type, S","other"
"2056","PTN_PTPRZ1","PTN","pleiotrophin","PTPRZ1","protein tyrosine phosphatase, receptor-type, Z polypeptide 1","other"
"2057","PTN_SDC1","PTN","pleiotrophin","SDC1","syndecan 1","other"
"2058","PTN_SDC3","PTN","pleiotrophin","SDC3","syndecan 3","other"
"2059","PYY_FAP","PYY","peptide YY","FAP","fibroblast activation protein, alpha","other"
"2060","PYY_NPY1R","PYY","peptide YY","NPY1R","neuropeptide Y receptor Y1","other"
"2061","PYY_NPY2R","PYY","peptide YY","NPY2R","neuropeptide Y receptor Y2","other"
"2062","PYY_NPY4R","PYY","peptide YY","NPY4R","neuropeptide Y receptor Y4","other"
"2063","PYY_NPY5R","PYY","peptide YY","NPY5R","neuropeptide Y receptor Y5","other"
"2064","QDPR_DYSF","QDPR","quinoid dihydropteridine reductase","DYSF","dysferlin","other"
"2065","QRFP_P2RY14","QRFP","pyroglutamylated RFamide peptide","P2RY14","purinergic receptor P2Y, G-protein coupled, 14","other"
"2066","QRFP_QRFPR","QRFP","pyroglutamylated RFamide peptide","QRFPR","pyroglutamylated RFamide peptide receptor","other"
"2067","RAET1E_KLRK1","RAET1E","retinoic acid early transcript 1E","KLRK1","killer cell lectin-like receptor subfamily K, member 1","other"
"2068","RARRES2_CCRL2","RARRES2","retinoic acid receptor responder (tazarotene induced) 2","CCRL2","chemokine (C-C motif) receptor-like 2","other"
"2069","RARRES2_CMKLR1","RARRES2","retinoic acid receptor responder (tazarotene induced) 2","CMKLR1","chemokine-like receptor 1","other"
"2070","RARRES2_GPR1","RARRES2","retinoic acid receptor responder (tazarotene induced) 2","GPR1","G protein-coupled receptor 1","other"
"2071","RBP3_NOTCH1","RBP3","retinol binding protein 3, interstitial","NOTCH1","notch 1","other"
"2072","RBP4_STRA6","RBP4","retinol binding protein 4, plasma","STRA6","stimulated by retinoic acid 6","other"
"2073","RELN_ITGA3","RELN","reelin","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","other"
"2074","RELN_ITGB1","RELN","reelin","ITGB1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","other"
"2075","RELN_LRP8","RELN","reelin","LRP8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor","other"
"2076","RELN_VLDLR","RELN","reelin","VLDLR","very low density lipoprotein receptor","other"
"2077","REN_ASIC3","REN","renin","ASIC3","acid-sensing (proton-gated) ion channel 3","other"
"2078","REN_ATP6AP2","REN","renin","ATP6AP2","ATPase, H+ transporting, lysosomal accessory protein 2","other"
"2079","RGMA_BMPR1B","RGMA","repulsive guidance molecule family member a","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"2080","RGMA_BMPR2","RGMA","repulsive guidance molecule family member a","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"2081","RGMA_HFE2","RGMA","repulsive guidance molecule family member a","HFE2","hemochromatosis type 2 (juvenile)","other"
"2082","RGMA_NEO1","RGMA","repulsive guidance molecule family member a","NEO1","neogenin 1","other"
"2083","RGMB_BMPR1B","RGMB","repulsive guidance molecule family member b","BMPR1B","bone morphogenetic protein receptor, type IB","other"
"2084","RGMB_BMPR2","RGMB","repulsive guidance molecule family member b","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","other"
"2085","RGMB_HFE2","RGMB","repulsive guidance molecule family member b","HFE2","hemochromatosis type 2 (juvenile)","other"
"2086","RGMB_NEO1","RGMB","repulsive guidance molecule family member b","NEO1","neogenin 1","other"
"2087","RIMS1_CACNA1C","RIMS1","regulating synaptic membrane exocytosis 1","CACNA1C","calcium channel, voltage-dependent, L type, alpha 1C subunit","other"
"2088","RIMS1_SLC17A7","RIMS1","regulating synaptic membrane exocytosis 1","SLC17A7","solute carrier family 17 (vesicular glutamate transporter), member 7","other"
"2089","RIMS1_SLC18A2","RIMS1","regulating synaptic membrane exocytosis 1","SLC18A2","solute carrier family 18 (vesicular monoamine transporter), member 2","other"
"2090","RIMS1_SLC18A3","RIMS1","regulating synaptic membrane exocytosis 1","SLC18A3","solute carrier family 18 (vesicular acetylcholine transporter), member 3","other"
"2091","RIMS2_ABCA1","RIMS2","regulating synaptic membrane exocytosis 2","ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1","other"
"2092","RLN1_RXFP1","RLN1","relaxin 1","RXFP1","relaxin/insulin-like family peptide receptor 1","other"
"2093","RLN1_RXFP2","RLN1","relaxin 1","RXFP2","relaxin/insulin-like family peptide receptor 2","other"
"2094","RLN2_RXFP1","RLN2","relaxin 2","RXFP1","relaxin/insulin-like family peptide receptor 1","other"
"2095","RLN2_RXFP2","RLN2","relaxin 2","RXFP2","relaxin/insulin-like family peptide receptor 2","other"
"2096","RLN3_RXFP1","RLN3","relaxin 3","RXFP1","relaxin/insulin-like family peptide receptor 1","other"
"2097","RLN3_RXFP2","RLN3","relaxin 3","RXFP2","relaxin/insulin-like family peptide receptor 2","other"
"2098","RLN3_RXFP3","RLN3","relaxin 3","RXFP3","relaxin/insulin-like family peptide receptor 3","other"
"2099","RLN3_RXFP4","RLN3","relaxin 3","RXFP4","relaxin/insulin-like family peptide receptor 4","other"
"2100","RNASE2_TLR2","RNASE2","ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)","TLR2","toll-like receptor 2","other"
"2101","RPH3A_NRXN1","RPH3A","rabphilin 3A homolog (mouse)","NRXN1","neurexin 1","other"
"2102","RPS19_C5AR1","RPS19","ribosomal protein S19","C5AR1","complement component 5a receptor 1","other"
"2103","RSPO1_FZD8","RSPO1","R-spondin 1","FZD8","frizzled class receptor 8","other"
"2104","RSPO1_LGR4","RSPO1","R-spondin 1","LGR4","leucine-rich repeat containing G protein-coupled receptor 4","other"
"2105","RSPO1_LGR5","RSPO1","R-spondin 1","LGR5","leucine-rich repeat containing G protein-coupled receptor 5","other"
"2106","RSPO1_LGR6","RSPO1","R-spondin 1","LGR6","leucine-rich repeat containing G protein-coupled receptor 6","other"
"2107","RSPO1_LRP6","RSPO1","R-spondin 1","LRP6","low density lipoprotein receptor-related protein 6","other"
"2108","RSPO1_ZNRF3","RSPO1","R-spondin 1","ZNRF3","zinc and ring finger 3","other"
"2109","RSPO2_LGR4","RSPO2","R-spondin 2","LGR4","leucine-rich repeat containing G protein-coupled receptor 4","other"
"2110","RSPO2_LGR5","RSPO2","R-spondin 2","LGR5","leucine-rich repeat containing G protein-coupled receptor 5","other"
"2111","RSPO2_LGR6","RSPO2","R-spondin 2","LGR6","leucine-rich repeat containing G protein-coupled receptor 6","other"
"2112","RSPO3_FZD8","RSPO3","R-spondin 3","FZD8","frizzled class receptor 8","other"
"2113","RSPO3_LGR4","RSPO3","R-spondin 3","LGR4","leucine-rich repeat containing G protein-coupled receptor 4","other"
"2114","RSPO3_LGR5","RSPO3","R-spondin 3","LGR5","leucine-rich repeat containing G protein-coupled receptor 5","other"
"2115","RSPO3_LGR6","RSPO3","R-spondin 3","LGR6","leucine-rich repeat containing G protein-coupled receptor 6","other"
"2116","RSPO3_LRP6","RSPO3","R-spondin 3","LRP6","low density lipoprotein receptor-related protein 6","other"
"2117","RSPO3_SDC4","RSPO3","R-spondin 3","SDC4","syndecan 4","other"
"2118","RSPO4_LGR4","RSPO4","R-spondin 4","LGR4","leucine-rich repeat containing G protein-coupled receptor 4","other"
"2119","RSPO4_LGR5","RSPO4","R-spondin 4","LGR5","leucine-rich repeat containing G protein-coupled receptor 5","other"
"2120","RSPO4_LGR6","RSPO4","R-spondin 4","LGR6","leucine-rich repeat containing G protein-coupled receptor 6","other"
"2121","RTN4_CNTNAP1","RTN4","reticulon 4","CNTNAP1","contactin associated protein 1","other"
"2122","RTN4_GJB2","RTN4","reticulon 4","GJB2","gap junction protein, beta 2, 26kDa","other"
"2123","RTN4_LINGO1","RTN4","reticulon 4","LINGO1","leucine rich repeat and Ig domain containing 1","other"
"2124","RTN4_NGFR","RTN4","reticulon 4","NGFR","nerve growth factor receptor","other"
"2125","RTN4_RTN4R","RTN4","reticulon 4","RTN4R","reticulon 4 receptor","other"
"2126","RTN4_RTN4RL1","RTN4","reticulon 4","RTN4RL1","reticulon 4 receptor-like 1","other"
"2127","RTN4_TNFRSF19","RTN4","reticulon 4","TNFRSF19","tumor necrosis factor receptor superfamily, member 19","other"
"2128","S100A8_TLR4","S100A8","S100 calcium binding protein A8","TLR4","toll-like receptor 4","other"
"2129","S100A9_TLR4","S100A9","S100 calcium binding protein A9","TLR4","toll-like receptor 4","other"
"2130","SAA1_FPR1","SAA1","serum amyloid A1","FPR1","formyl peptide receptor 1","other"
"2131","SAA1_FPR2","SAA1","serum amyloid A1","FPR2","formyl peptide receptor 2","other"
"2132","SAA1_SCARB1","SAA1","serum amyloid A1","SCARB1","scavenger receptor class B, member 1","other"
"2133","SCGB1A1_LMBR1L","SCGB1A1","secretoglobin, family 1A, member 1 (uteroglobin)","LMBR1L","limb development membrane protein 1-like","other"
"2134","SCGB1A1_LRP2","SCGB1A1","secretoglobin, family 1A, member 1 (uteroglobin)","LRP2","low density lipoprotein receptor-related protein 2","other"
"2135","SCGB3A1_MARCO","SCGB3A1","secretoglobin, family 3A, member 1","MARCO","macrophage receptor with collagenous structure","other"
"2136","SCGB3A2_MARCO","SCGB3A2","secretoglobin, family 3A, member 2","MARCO","macrophage receptor with collagenous structure","other"
"2137","SCT_SCTR","SCT","secretin","SCTR","secretin receptor","other"
"2138","SCT_VIPR1","SCT","secretin","VIPR1","vasoactive intestinal peptide receptor 1","other"
"2139","SCT_VIPR2","SCT","secretin","VIPR2","vasoactive intestinal peptide receptor 2","other"
"2140","SELPLG_ESAM","SELPLG","selectin P ligand","ESAM","endothelial cell adhesion molecule","other"
"2141","SELPLG_ITGAM","SELPLG","selectin P ligand","ITGAM","integrin, alpha M (complement component 3 receptor 3 subunit)","other"
"2142","SELPLG_ITGB2","SELPLG","selectin P ligand","ITGB2","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","other"
"2143","SELPLG_SELE","SELPLG","selectin P ligand","SELE","selectin E","other"
"2144","SELPLG_SELL","SELPLG","selectin P ligand","SELL","selectin L","other"
"2145","SELPLG_SELP","SELPLG","selectin P ligand","SELP","selectin P (granule membrane protein 140kDa, antigen CD62)","other"
"2146","SEMA3A_NRP1","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","NRP1","neuropilin 1","other"
"2147","SEMA3A_NRP2","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","NRP2","neuropilin 2","other"
"2148","SEMA3A_PLXNA1","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","PLXNA1","plexin A1","other"
"2149","SEMA3A_PLXNA2","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","PLXNA2","plexin A2","other"
"2150","SEMA3A_PLXNA3","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","PLXNA3","plexin A3","other"
"2151","SEMA3A_PLXNA4","SEMA3A","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A","PLXNA4","plexin A4","other"
"2152","SEMA3B_NRP1","SEMA3B","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","NRP1","neuropilin 1","other"
"2153","SEMA3B_NRP2","SEMA3B","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","NRP2","neuropilin 2","other"
"2154","SEMA3C_NRP1","SEMA3C","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C","NRP1","neuropilin 1","other"
"2155","SEMA3C_NRP2","SEMA3C","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C","NRP2","neuropilin 2","other"
"2156","SEMA3C_PLXND1","SEMA3C","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C","PLXND1","plexin D1","other"
"2157","SEMA3D_NRP1","SEMA3D","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D","NRP1","neuropilin 1","other"
"2158","SEMA3E_NRP1","SEMA3E","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","NRP1","neuropilin 1","other"
"2159","SEMA3E_PLXND1","SEMA3E","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E","PLXND1","plexin D1","other"
"2160","SEMA3F_NRP1","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","NRP1","neuropilin 1","other"
"2161","SEMA3F_NRP2","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","NRP2","neuropilin 2","other"
"2162","SEMA3F_PLXNA1","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","PLXNA1","plexin A1","other"
"2163","SEMA3F_PLXNA3","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","PLXNA3","plexin A3","other"
"2164","SEMA3G_NRP2","SEMA3G","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G","NRP2","neuropilin 2","other"
"2165","SEMA4A_PLXND1","SEMA4A","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A","PLXND1","plexin D1","other"
"2166","SEMA4B_DCBLD2","SEMA4B","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B","DCBLD2","discoidin, CUB and LCCL domain containing 2","other"
"2167","SEMA4C_PLXNB2","SEMA4C","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C","PLXNB2","plexin B2","other"
"2168","SEMA4D_CD72","SEMA4D","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D","CD72","CD72 molecule","other"
"2169","SEMA4D_ERBB2","SEMA4D","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D","ERBB2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","other"
"2170","SEMA4D_MET","SEMA4D","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D","MET","met proto-oncogene","other"
"2171","SEMA4D_PLXNB1","SEMA4D","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D","PLXNB1","plexin B1","other"
"2172","SEMA4D_PLXNB2","SEMA4D","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D","PLXNB2","plexin B2","other"
